KRT23,-3,-1.01,4.92,-1.34,2.55,-0.27,-0.23,0.12,4.31,-2.6,2,1.3,0.03,-3.92,0.41,1.95,-1.19,2.21,-1.21,1.65,-0.33,0.56,-0.21,-0.62,0.36,1.44,1.46
ANKRD30B,0,-3.29,3.08,0,-3.03,-1.11,0,0,-3.05,1.72,-2.54,1.34,-2.19,0,1.11,-3.04,1.64,-2.54,0,-4.14,0.52,1.12,-2.85,-1.68,0.98,-1.59,-4.17
CNTNAP2,1.25,-1.57,4.09,-3.06,0.93,-2.25,0.4,-3.51,-2.26,-2.92,-2.27,-0.12,0.18,-3.12,0,-0.33,1.58,1.48,2.41,-1.72,-2.63,-1.92,-2.44,-0.28,-1.81,-2.94,-3.21
CNTNAP2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CNTNAP2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MMP12,3.48,-1.87,-0.66,4.08,0,-0.11,-0.01,0,0,1.75,5.01,0.49,2.04,5.45,-0.82,0,0,3.79,0,1.61,-0.3,2.5,0.04,-0.55,-1.54,3.3,0.01
MMP12,3.3,0,-0.67,4.31,0,-0.06,-0.56,0,0,2.24,4.98,0.47,1.83,5.31,-0.74,0,-3.23,3.7,0,1.8,-0.51,2.75,0.16,-0.41,0,3.11,-0.02
PLA2G2A,2.8,1.08,3.25,-0.57,0,-2.46,0,3.29,2.88,4.29,0.59,4.58,0.12,-1.27,0.57,-2.5,0,0.57,-0.21,-0.04,-2.18,-1.79,2.82,-0.09,-1.27,-0.43,-0.2
LOC642838,-1.45,0.39,-3.25,-5.33,-0.25,0.86,0.54,-0.26,1.08,1.35,0.23,-2.27,0.94,-0.97,1.02,0.82,-5.46,0.03,0.95,-2.79,0.8,-1.79,0.27,-0.16,0.53,-1.1,-4.51
GSTT1,0.66,1.03,0.32,-0.05,-2.07,0.5,-3.37,-4.33,-3.38,-3.33,0.69,-0.08,-3.23,-2.89,-0.25,0.33,-3.6,-1.36,0.09,-0.81,0,-3.56,0.13,0.66,0.38,-1.23,-0.89
GSTT1,0.8,1.11,0.38,-0.19,-2.32,0.38,-4.79,0,-4.26,-4.14,0.54,-0.19,-4.3,-4.21,-0.31,0.55,-4.03,-1.34,-0.03,-1.04,-0.18,-4.19,0.25,0.64,0.45,-1.2,-0.94
CYP2J2,2.78,1.7,-3.44,-4.17,1.83,0,2.39,1.1,1.44,-2.22,0.07,-0.67,-1.19,-5,-1.98,1.21,-2.68,1.18,0.23,1.58,-0.98,0,-0.65,-0.36,-0.66,-2.19,0.06
HS6ST3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HS6ST3,-3,-2.2,-3.33,0,0.53,0,-1.27,1.54,0,0,1.67,2.19,-3.85,0,1.05,0.73,-5.12,-0.46,0,0.93,-0.56,-2.73,-2.08,2.26,1.52,-0.83,-3.49
LOC100653245,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC100653245,-1.98,3.53,-2.74,-2.39,-0.49,-0.1,1.18,0.85,1.76,3.21,1.37,-2.24,1.84,0.44,2.31,1.1,-3.31,1.41,0.14,-3.12,1.91,-1.48,-0.13,-0.34,-0.13,-1.02,-3.27
SERPINA3,-3.7,-1.17,-0.64,2.4,1.18,-0.6,-1.33,0.03,-0.61,2.92,0.09,3.14,-1.18,-1.59,0,4.86,2.52,2.21,1.58,-0.64,-0.61,1.59,0.64,-2.04,2.82,1.71,-1.94
SERPINA3,-4.38,-1.2,-0.72,0,1.11,-0.72,-1.18,-0.09,-0.67,0,0.09,0,-1.19,-2.19,-1.33,4.81,2.46,2.23,1.48,0,-0.6,1.47,0.55,0,2.68,1.9,-2.24
POU2AF1,-2.36,2.1,-4.26,-2.43,-0.71,1.05,0.22,-0.01,0.02,3.15,0.96,-2.4,2.4,0.78,2.94,0.63,-4.09,-0.33,0.37,-2.68,1.54,-2.08,-0.15,0.13,1.33,-1.15,-1.45
NKAIN1,-2.16,-2.01,-0.51,-0.97,0.42,-1.55,0.57,0,-1.9,-0.3,-1.12,1.6,-1.03,-0.67,-2.05,0,6.81,0.15,-1.44,1.28,-0.54,1.49,-1.74,0.28,-1.14,3.86,-2.27
MMP9,1.56,-1.6,-3.17,2.6,-2.4,-0.66,-0.14,0.52,-3.44,0.48,0.82,1.33,2.96,3.98,1.96,-0.52,0.74,-0.2,1.91,2.42,-1.65,0.66,-0.67,-1.71,-1.18,3.56,-1.3
LOC645249,1.89,-1.03,1.94,-1.79,0.83,-2.08,-0.23,-0.91,1.72,2.85,-1.53,-1.67,-2.11,-2.33,1.25,2.72,-1.08,3.81,2.35,3.37,-2.01,0.16,0.43,-2.09,1.05,-1.8,-1.95
VTCN1,-1.16,-0.18,0.52,0.01,0.95,1.26,-3.45,1.41,0,0,1.06,0.1,-2.25,-4.9,0.41,0.09,-6.92,-0.01,0.27,0.27,0.68,1.36,1.21,1.08,0.34,1.13,0.18
UGT2B28,6.45,3.58,4.34,0.81,-0.23,5.06,-0.61,0,-0.23,0,1.28,-1.14,-0.52,0,1.32,0,2.94,-1.26,1.39,0.82,-0.29,-0.84,0.58,0.2,2.19,-0.69,0
KIAA1199,-2.3,-2.46,0,3.21,0,-2.38,0,0,0,-1.67,-0.97,1.02,3.23,-1.15,-2.76,-2.66,0,-2.07,0,0.56,0.94,-0.94,-0.95,0.48,-1.89,2.76,2.13
KIAA1199,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KIAA1199,-0.54,-1.01,-0.01,4.11,-3.02,-1.49,-3.29,-2.26,-2.14,-1.16,-0.29,1.73,3.97,0,-1.87,-1.12,0.49,0,-0.89,0.61,1.61,-0.62,-0.42,0.79,-1.51,3.29,2.74
PROM1,3.44,-1.06,0.11,0,-2.14,1.81,0,3.08,0.65,-3.08,1.82,0,-1.26,0,2.11,0,-3.69,-1.56,3.02,-2.17,-0.31,-1.8,-0.66,3.34,1.86,-1.07,1.42
TDRD12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TDRD12,-1.39,0.16,0.85,-1.13,0.13,-0.53,2.35,1.06,0.07,-0.66,-0.59,6.08,-0.76,0.16,-0.94,6.33,-1.37,0.43,-0.15,0.68,1.47,0.2,1.23,-0.37,1.31,-0.78,3.48
HRASLS,-0.05,0.68,1.14,-2.1,2.81,-0.47,0.91,0.29,-0.51,-3.67,-0.16,1.73,-1.05,-2.25,-3.34,3.15,-4.3,0.95,-3.14,0.95,-1.47,1.46,-0.34,0.28,-0.04,1.7,-2.52
KRT7,2.15,0.96,1.52,-3.21,-2.65,-0.23,-2.52,0.04,0.57,-4.04,-0.38,1.45,0.7,-4.2,1.73,-3.9,0.96,1.44,-0.21,1.72,-1.2,1.02,0.55,1.4,-0.17,-2.06,-1.2
GPR98,1.55,-3.7,-3.48,1.92,0.58,0.26,2.29,-3.07,0.08,-0.17,0.06,0.01,-0.47,-4.17,-1.46,-0.69,2.31,-3.98,0,1.68,0.17,-1.31,-0.24,1.94,0.56,1.9,0.35
GPR98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GPR98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S100P,0,0.96,0,-1.7,-3.94,-2.2,1.92,-0.6,-0.6,0,-0.84,0,-0.54,-3.44,0.1,-4.15,0,-0.64,3.47,0.05,-4.03,0,1.88,-4.34,0.8,-0.91,0.42
FIGF,3.27,2.35,-1.67,-1.42,2.04,3.02,3,0,2.5,-0.56,-0.35,-2.71,0,2.79,0.21,-1.19,-1.98,4.83,0,-0.92,-0.69,-0.96,2.88,1.45,1.44,-0.66,0
VCX3A,0.2,0.29,-1.69,-0.43,5.25,1.33,6.62,-0.95,-0.13,-0.01,0.61,-0.89,-1.04,-0.2,-1.2,-1.13,-1.97,-1.07,-1.14,-0.53,0.15,0.01,-0.81,2.42,0.58,-1.57,-0.5
